index,_id,tags,tags1
Build Modern ETL Data Pipeline using Informatica cloud,63930a3be714c06fd6532008,"['Real Time Projects', 'Build Modern ETL Data Pipeline using Infomatica cloud', 'Components of a Data Engineering Platform', 'Building ETL Pipeline', 'How to store data in the data warehouse ', 'Build Dashboard using Tableau', 'Informatica Cloud', 'Imran', ['Real Time Projects', 'Build Modern ETL Data Pipeline using Infomatica cloud', 'Components of a Data Engineering Platform', 'Building ETL Pipeline', 'How to store data in the data warehouse ', 'Build Dashboard using Tableau', 'Informatica Cloud']]","Real Time Projects Build Modern ETL Data Pipeline using Infomatica cloud Components of a Data Engineering Platform Building ETL Pipeline How to store data in the data warehouse  Build Dashboard using Tableau Informatica Cloud Imran ['Real Time Projects', 'Build Modern ETL Data Pipeline using Infomatica cloud', 'Components of a Data Engineering Platform', 'Building ETL Pipeline', 'How to store data in the data warehouse ', 'Build Dashboard using Tableau', 'Informatica Cloud']"
Build ETL Data Pipeline on AWS EMR Cluster,6393081fe714c07ed5531fc4,"['Real Time Projects', 'Build ETL Data Pipeline on AWS EMR Cluster', 'Components of a Data Engineering Platform', 'Building ETL Pipeline', 'Store data in the data warehouse ', 'Build Dashboard using Tableau', 'Hive', 'Imran', ['Real Time Projects', 'Build ETL Data Pipeline on AWS EMR Cluster', 'Components of a Data Engineering Platform', 'Building ETL Pipeline', 'Store data in the data warehouse ', 'Build Dashboard using Tableau', 'Hive']]","Real Time Projects Build ETL Data Pipeline on AWS EMR Cluster Components of a Data Engineering Platform Building ETL Pipeline Store data in the data warehouse  Build Dashboard using Tableau Hive Imran ['Real Time Projects', 'Build ETL Data Pipeline on AWS EMR Cluster', 'Components of a Data Engineering Platform', 'Building ETL Pipeline', 'Store data in the data warehouse ', 'Build Dashboard using Tableau', 'Hive']"
Create A Data Pipeline based on Messaging Using PySpark and Airflow,63930221e714c04564531ea8,"['Real Time Projects', 'Create A Data Pipeline based on Messaging Using PySpark and Airflow ', 'Build End to End Datapipeline', 'How to Extract Streaming Data into NFFI', 'Data Encryption', 'Data processing using pyspark', 'Build Dashboards', 'Imran', ['Real Time Projects', 'Create A Data Pipeline based on Messaging Using PySpark and Airflow ', 'Build End to End Datapipeline', 'How to Extract Streaming Data into NFFI', 'Data Encryption', 'Data processing using pyspark', 'Build Dashboards']]","Real Time Projects Create A Data Pipeline based on Messaging Using PySpark and Airflow  Build End to End Datapipeline How to Extract Streaming Data into NFFI Data Encryption Data processing using pyspark Build Dashboards Imran ['Real Time Projects', 'Create A Data Pipeline based on Messaging Using PySpark and Airflow ', 'Build End to End Datapipeline', 'How to Extract Streaming Data into NFFI', 'Data Encryption', 'Data processing using pyspark', 'Build Dashboards']"
Hive Project to build a data warehouse for e-Commerce,639300ede714c01ec2531e53,"['Real Time Projects', 'Hive Project to build a data warehouse for e-Commerce', 'Understanding various services provided by AWS', 'Creating an AWS EC2 instance', 'Moving the data from MySQL to HDFS', 'Data ingestions using Sqoop, Spark and Hive', 'Understanding different analytical functions in Hive', 'PriyaBhatia', ['Real Time Projects', 'Hive Project to build a data warehouse for e-Commerce', 'Understanding various services provided by AWS', 'Creating an AWS EC2 instance', 'Moving the data from MySQL to HDFS', 'Data ingestions using Sqoop, Spark and Hive', 'Understanding different analytical functions in Hive']]","Real Time Projects Hive Project to build a data warehouse for e-Commerce Understanding various services provided by AWS Creating an AWS EC2 instance Moving the data from MySQL to HDFS Data ingestions using Sqoop, Spark and Hive Understanding different analytical functions in Hive PriyaBhatia ['Real Time Projects', 'Hive Project to build a data warehouse for e-Commerce', 'Understanding various services provided by AWS', 'Creating an AWS EC2 instance', 'Moving the data from MySQL to HDFS', 'Data ingestions using Sqoop, Spark and Hive', 'Understanding different analytical functions in Hive']"
House Price Prediction,6392e14fe714c0a0c7531c96,"['Real Time Projects', 'House Price Prediction', 'Preparing Dataset And Basic Analysis', 'Preparing Dataset For Model Training', 'Training the Model', 'Performance Metrics', 'Creating A Flask Web Application', 'Deployment', 'krishnaik', ['Real Time Projects', 'House Price Prediction', 'Preparing Dataset And Basic Analysis', 'Preparing Dataset For Model Training', 'Training the Model', 'Performance Metrics', 'Creating A Flask Web Application', 'Deployment']]","Real Time Projects House Price Prediction Preparing Dataset And Basic Analysis Preparing Dataset For Model Training Training the Model Performance Metrics Creating A Flask Web Application Deployment krishnaik ['Real Time Projects', 'House Price Prediction', 'Preparing Dataset And Basic Analysis', 'Preparing Dataset For Model Training', 'Training the Model', 'Performance Metrics', 'Creating A Flask Web Application', 'Deployment']"
MLFlow Production Server Setup,6391b90fe714c07135531a3d,"['Real Time Projects', 'Mlflow production server setup', 'Understand MLOPS best practices', 'Understand  Aws cloud ec2 and mysql', 'Setup Mlflow server in production ', 'Understand authentication with nginx', 'Get hands on with server setup', 'KetanGangal', ['Real Time Projects', 'Mlflow production server setup', 'Understand MLOPS best practices', 'Understand  Aws cloud ec2 and mysql', 'Setup Mlflow server in production ', 'Understand authentication with nginx', 'Get hands on with server setup']]","Real Time Projects Mlflow production server setup Understand MLOPS best practices Understand  Aws cloud ec2 and mysql Setup Mlflow server in production  Understand authentication with nginx Get hands on with server setup KetanGangal ['Real Time Projects', 'Mlflow production server setup', 'Understand MLOPS best practices', 'Understand  Aws cloud ec2 and mysql', 'Setup Mlflow server in production ', 'Understand authentication with nginx', 'Get hands on with server setup']"
Sensor Fault Prediction,6391b7e3e714c03a415319fb,"['Real Time Projects', 'Sensor Fault Prediction', 'Understand MLOPS best practices', 'EDA and Feature engineering on sensors reading generated by vehicle air pressure system', 'Industry standard Machine Learning development', 'Implementation of Continuous Training', 'Deploying Machine Learning Model as an endpoint API', 'Continous Monitoring', 'Model Management', 'AvnishYadav', ['Real Time Projects', 'Sensor Fault Prediction', 'Understand MLOPS best practices', 'EDA and Feature engineering on sensors reading generated by vehicle air pressure system', 'Industry standard Machine Learning development', 'Implementation of Continuous Training', 'Deploying Machine Learning Model as an endpoint API', 'Continous Monitoring', 'Model Management']]","Real Time Projects Sensor Fault Prediction Understand MLOPS best practices EDA and Feature engineering on sensors reading generated by vehicle air pressure system Industry standard Machine Learning development Implementation of Continuous Training Deploying Machine Learning Model as an endpoint API Continous Monitoring Model Management AvnishYadav ['Real Time Projects', 'Sensor Fault Prediction', 'Understand MLOPS best practices', 'EDA and Feature engineering on sensors reading generated by vehicle air pressure system', 'Industry standard Machine Learning development', 'Implementation of Continuous Training', 'Deploying Machine Learning Model as an endpoint API', 'Continous Monitoring', 'Model Management']"
Text Summarization,6391b49de714c01ed55319b1,"['Real Time Projects', 'Text Summarization', 'Understand best coding practice in modular way', 'How to use Pre-Trained model from hugging face', 'How to Fine tune a pretrained model', 'Create a custom dataset and dataloader for faster loading of the data', 'Use Training pipeline and Prediction pipeline along with CICD to GCP', 'BharathJPV', ['Real Time Projects', 'Text Summarization', 'Understand best coding practice in modular way', 'How to use Pre-Trained model from hugging face', 'How to Fine tune a pretrained model', 'Create a custom dataset and dataloader for faster loading of the data', 'Use Training pipeline and Prediction pipeline along with CICD to GCP']]","Real Time Projects Text Summarization Understand best coding practice in modular way How to use Pre-Trained model from hugging face How to Fine tune a pretrained model Create a custom dataset and dataloader for faster loading of the data Use Training pipeline and Prediction pipeline along with CICD to GCP BharathJPV ['Real Time Projects', 'Text Summarization', 'Understand best coding practice in modular way', 'How to use Pre-Trained model from hugging face', 'How to Fine tune a pretrained model', 'Create a custom dataset and dataloader for faster loading of the data', 'Use Training pipeline and Prediction pipeline along with CICD to GCP']"
The Ultimate Guide To OpenAI GPT-3 & Fine Tune with Custom Data,6391af92e714c021be531979,"['Real Time Projects', 'OpenAI GPT-3 & Fine Tune with Custom data', 'What is GPT-3? ', 'Demo: Build a paraphraser, Chatbot, Summarization', 'OpenAI playground to develop prompts. ', 'Understand various engines and GPT-3 prompt parameters. ', 'Create novel datasets with GPT-3 and Streamlit UI. ', 'Zero-shot and few-shot prompts.', 'Fine tuning GPT3 ', 'BoktiarAhmedBappy', ['Real Time Projects', 'OpenAI GPT-3 & Fine Tune with Custom data', 'What is GPT-3? ', 'Demo: Build a paraphraser, Chatbot, Summarization', 'OpenAI playground to develop prompts. ', 'Understand various engines and GPT-3 prompt parameters. ', 'Create novel datasets with GPT-3 and Streamlit UI. ', 'Zero-shot and few-shot prompts.', 'Fine tuning GPT3 ']]","Real Time Projects OpenAI GPT-3 & Fine Tune with Custom data What is GPT-3?  Demo: Build a paraphraser, Chatbot, Summarization OpenAI playground to develop prompts.  Understand various engines and GPT-3 prompt parameters.  Create novel datasets with GPT-3 and Streamlit UI.  Zero-shot and few-shot prompts. Fine tuning GPT3  BoktiarAhmedBappy ['Real Time Projects', 'OpenAI GPT-3 & Fine Tune with Custom data', 'What is GPT-3? ', 'Demo: Build a paraphraser, Chatbot, Summarization', 'OpenAI playground to develop prompts. ', 'Understand various engines and GPT-3 prompt parameters. ', 'Create novel datasets with GPT-3 and Streamlit UI. ', 'Zero-shot and few-shot prompts.', 'Fine tuning GPT3 ']"
Industry Safety Detection using YOLO v7,6391adcde714c01816531947,"['Real Time Projects', 'Industry Safety Detection using YOLO v7', 'Object detection with YOLO v7', 'Data Annotation', 'How to work with Docker', 'Modular coding approach for training and prediction pipeline ', 'Building Flask app', 'Learn about AWS basics', 'CICD tools like Github actions ', 'Production-grade deployment', 'BoktiarAhmedBappy', ['Real Time Projects', 'Industry Safety Detection using YOLO v7', 'Object detection with YOLO v7', 'Data Annotation', 'How to work with Docker', 'Modular coding approach for training and prediction pipeline ', 'Building Flask app', 'Learn about AWS basics', 'CICD tools like Github actions ', 'Production-grade deployment']]","Real Time Projects Industry Safety Detection using YOLO v7 Object detection with YOLO v7 Data Annotation How to work with Docker Modular coding approach for training and prediction pipeline  Building Flask app Learn about AWS basics CICD tools like Github actions  Production-grade deployment BoktiarAhmedBappy ['Real Time Projects', 'Industry Safety Detection using YOLO v7', 'Object detection with YOLO v7', 'Data Annotation', 'How to work with Docker', 'Modular coding approach for training and prediction pipeline ', 'Building Flask app', 'Learn about AWS basics', 'CICD tools like Github actions ', 'Production-grade deployment']"
Shipment Price Prediction,6391a9f7e714c07d825318e2,"['Real Time Projects', 'Shipment Price Prediction', 'Learn about Regression model implementation', 'Hyperparameter optimization', 'How to work with database', 'Modular coding approach for training and prediction pipeline along with FastAPI ', 'Learn about AWS basics ', 'CICD tools like Github actions ', 'Production-grade deployment', 'BoktiarAhmedBappy', ['Real Time Projects', 'Shipment Price Prediction', 'Learn about Regression model implementation', 'Hyperparameter optimization', 'How to work with database', 'Modular coding approach for training and prediction pipeline along with FastAPI ', 'Learn about AWS basics ', 'CICD tools like Github actions ', 'Production-grade deployment']]","Real Time Projects Shipment Price Prediction Learn about Regression model implementation Hyperparameter optimization How to work with database Modular coding approach for training and prediction pipeline along with FastAPI  Learn about AWS basics  CICD tools like Github actions  Production-grade deployment BoktiarAhmedBappy ['Real Time Projects', 'Shipment Price Prediction', 'Learn about Regression model implementation', 'Hyperparameter optimization', 'How to work with database', 'Modular coding approach for training and prediction pipeline along with FastAPI ', 'Learn about AWS basics ', 'CICD tools like Github actions ', 'Production-grade deployment']"
Finance Complaint,639198fae714c01f2353187a,"['Real Time Projects', 'Finance Complaint', 'Understand MLOPS best practices', 'EDA and Feature engineering on Financial Complaint registered by customers.', 'Industry standard Machine Learning development', 'Implementation of Continuous Training', 'Deploying Machine Learning Model as an endpoint API', 'Continous Monitoring and Model Management', 'ML training using Spark on more than 3 Millions records.', 'AvnishYadav', ['Real Time Projects', 'Finance Complaint', 'Understand MLOPS best practices', 'EDA and Feature engineering on Financial Complaint registered by customers.', 'Industry standard Machine Learning development', 'Implementation of Continuous Training', 'Deploying Machine Learning Model as an endpoint API', 'Continous Monitoring and Model Management', 'ML training using Spark on more than 3 Millions records.']]","Real Time Projects Finance Complaint Understand MLOPS best practices EDA and Feature engineering on Financial Complaint registered by customers. Industry standard Machine Learning development Implementation of Continuous Training Deploying Machine Learning Model as an endpoint API Continous Monitoring and Model Management ML training using Spark on more than 3 Millions records. AvnishYadav ['Real Time Projects', 'Finance Complaint', 'Understand MLOPS best practices', 'EDA and Feature engineering on Financial Complaint registered by customers.', 'Industry standard Machine Learning development', 'Implementation of Continuous Training', 'Deploying Machine Learning Model as an endpoint API', 'Continous Monitoring and Model Management', 'ML training using Spark on more than 3 Millions records.']"
Deep Authenticator,63919492e714c06dc4531816,"['Real Time Projects', 'Deep Authenticator', 'Authentication and Authorization ', 'MTCNN', 'FaceNet', 'FastAPI', 'Azure Container Registry and Azure App Service', 'GitHub Actions CI/CD', 'RishavDash', ['Real Time Projects', 'Deep Authenticator', 'Authentication and Authorization ', 'MTCNN', 'FaceNet', 'FastAPI', 'Azure Container Registry and Azure App Service', 'GitHub Actions CI/CD']]","Real Time Projects Deep Authenticator Authentication and Authorization  MTCNN FaceNet FastAPI Azure Container Registry and Azure App Service GitHub Actions CI/CD RishavDash ['Real Time Projects', 'Deep Authenticator', 'Authentication and Authorization ', 'MTCNN', 'FaceNet', 'FastAPI', 'Azure Container Registry and Azure App Service', 'GitHub Actions CI/CD']"
Language Identification,639191e6e714c07cb15317b3,"['Real Time Projects', 'Language Identification', 'Audio preprocessing steps to build', 'Train and evaluate Deep learning models in PyTorch ', 'Creating custom PyTorch dataset and dataloader', 'Use convolution neural network for audio classification.', 'Modular coding approach for training and prediction pipeline', 'Building Flask App', 'Learn about GCP basics', 'CICD tool like Github Actions for deployment', 'AravindS', ['Real Time Projects', 'Language Identification', 'Audio preprocessing steps to build', 'Train and evaluate Deep learning models in PyTorch ', 'Creating custom PyTorch dataset and dataloader', 'Use convolution neural network for audio classification.', 'Modular coding approach for training and prediction pipeline', 'Building Flask App', 'Learn about GCP basics', 'CICD tool like Github Actions for deployment']]","Real Time Projects Language Identification Audio preprocessing steps to build Train and evaluate Deep learning models in PyTorch  Creating custom PyTorch dataset and dataloader Use convolution neural network for audio classification. Modular coding approach for training and prediction pipeline Building Flask App Learn about GCP basics CICD tool like Github Actions for deployment AravindS ['Real Time Projects', 'Language Identification', 'Audio preprocessing steps to build', 'Train and evaluate Deep learning models in PyTorch ', 'Creating custom PyTorch dataset and dataloader', 'Use convolution neural network for audio classification.', 'Modular coding approach for training and prediction pipeline', 'Building Flask App', 'Learn about GCP basics', 'CICD tool like Github Actions for deployment']"
Sign Language Detection,63918e65e714c069e1531746,"['Real Time Projects', 'Sign Language Detection', 'Object detection with YOLO v5', 'Creating custom dataset using OpenCV', 'How to work with bash cmd & Docker', 'Modular coding approach for training and prediction pipeline along with Flask app', 'Learn about AWS ', 'Basics of CICD tools', 'Github Actions for Production-grade deployment', 'BoktiarAhmedBappy', ['Real Time Projects', 'Sign Language Detection', 'Object detection with YOLO v5', 'Creating custom dataset using OpenCV', 'How to work with bash cmd & Docker', 'Modular coding approach for training and prediction pipeline along with Flask app', 'Learn about AWS ', 'Basics of CICD tools', 'Github Actions for Production-grade deployment']]","Real Time Projects Sign Language Detection Object detection with YOLO v5 Creating custom dataset using OpenCV How to work with bash cmd & Docker Modular coding approach for training and prediction pipeline along with Flask app Learn about AWS  Basics of CICD tools Github Actions for Production-grade deployment BoktiarAhmedBappy ['Real Time Projects', 'Sign Language Detection', 'Object detection with YOLO v5', 'Creating custom dataset using OpenCV', 'How to work with bash cmd & Docker', 'Modular coding approach for training and prediction pipeline along with Flask app', 'Learn about AWS ', 'Basics of CICD tools', 'Github Actions for Production-grade deployment']"
Text To Speech,639188a0afd9f655169cfcf5,"['Real Time Projects', 'Text To Speech', 'Implementation Python oops concepts.', 'Modular Coding ', 'gTTS', 'Flask', 'RishavDash', ['Real Time Projects', 'Text To Speech', 'Implementation Python oops concepts.', 'Modular Coding ', 'gTTS', 'Flask']]","Real Time Projects Text To Speech Implementation Python oops concepts. Modular Coding  gTTS Flask RishavDash ['Real Time Projects', 'Text To Speech', 'Implementation Python oops concepts.', 'Modular Coding ', 'gTTS', 'Flask']"
Face Swap Application,639185a7afd9f642649cfc9e,"['Real Time Project', 'Python', 'Open-CV', 'dlib', 'Image handling in Python', 'BharathJPV', ['Real Time Project', 'Python', 'Open-CV', 'dlib', 'Image handling in Python']]","Real Time Project Python Open-CV dlib Image handling in Python BharathJPV ['Real Time Project', 'Python', 'Open-CV', 'dlib', 'Image handling in Python']"
Full Stack Data Science Nov'21 Tech Neuron,6389b7ff41896d32c199d378,"['Python', 'Stats', 'Machine learning', 'Deep learning', 'Computer vision', 'Natural language processing', 'Data analytics', 'Big data', 'Architecture', 'Databases', 'krishnaik', 'SudhanshuKumar', 'SunnySavita', ['Python', 'Stats', 'Machine learning', 'Deep learning', 'Computer vision', 'Natural language processing', 'Data analytics', 'Big data', 'Architecture', 'Databases']]","Python Stats Machine learning Deep learning Computer vision Natural language processing Data analytics Big data Architecture Databases krishnaik SudhanshuKumar SunnySavita ['Python', 'Stats', 'Machine learning', 'Deep learning', 'Computer vision', 'Natural language processing', 'Data analytics', 'Big data', 'Architecture', 'Databases']"
Full Stack Data Science Feb'21 Tech Neuron,6389ab0041896db90e99c131,"['Python', 'Stats', 'Machine learning', 'Deep learning', 'Computer vision', 'Natural language processing', 'Data analytics', 'Big data', 'Cloud', 'Architecture', 'Databases', 'SunnyBhaveenChandra', 'SourangshuPal', 'krishnaik', 'SudhanshuKumar', 'SunnySavita', ['Python', 'Stats', 'Machine learning', 'Deep learning', 'Computer vision', 'Natural language processing', 'Data analytics', 'Big data', 'Cloud', 'Architecture', 'Databases']]","Python Stats Machine learning Deep learning Computer vision Natural language processing Data analytics Big data Cloud Architecture Databases SunnyBhaveenChandra SourangshuPal krishnaik SudhanshuKumar SunnySavita ['Python', 'Stats', 'Machine learning', 'Deep learning', 'Computer vision', 'Natural language processing', 'Data analytics', 'Big data', 'Cloud', 'Architecture', 'Databases']"
Machine Learning Bootcamp Tech Neuron,637f220858a1eef0aa0954cf,"['Python', 'APIs', 'Databases', 'Python projects', 'Numpy', 'Pandas', 'Visualizations', 'Stats', 'Supervised Machine learning Algorithms', 'Unsupervised Machine learning Algorithms', 'Dimensionality Reduction', 'Machine Learning Projects', 'Deep learning', 'PowerBI', 'Tableau', 'Chatbots', 'krishnaik', 'SunnySavita', ['Python', 'APIs', 'Databases', 'Python projects', 'Numpy', 'Pandas', 'Visualizations', 'Stats', 'Supervised Machine learning Algorithms', 'Unsupervised Machine learning Algorithms', 'Dimensionality Reduction', 'Machine Learning Projects', 'Deep learning', 'PowerBI', 'Tableau', 'Chatbots']]","Python APIs Databases Python projects Numpy Pandas Visualizations Stats Supervised Machine learning Algorithms Unsupervised Machine learning Algorithms Dimensionality Reduction Machine Learning Projects Deep learning PowerBI Tableau Chatbots krishnaik SunnySavita ['Python', 'APIs', 'Databases', 'Python projects', 'Numpy', 'Pandas', 'Visualizations', 'Stats', 'Supervised Machine learning Algorithms', 'Unsupervised Machine learning Algorithms', 'Dimensionality Reduction', 'Machine Learning Projects', 'Deep learning', 'PowerBI', 'Tableau', 'Chatbots']"
Manual Testing Kickstart,634bce6b078885548cfe54aa,"['Basics of Testing', 'Principles Of Testing', 'SDLC', 'Waterfall', 'Spiral', 'Test Estimation & Test Management', 'TestCase Development', 'Testing Types', 'Testing Techniques', 'KiranSahu', ['Basics of Testing', 'Principles Of Testing', 'SDLC', 'Waterfall', 'Spiral', 'Test Estimation & Test Management', 'TestCase Development', 'Testing Types', 'Testing Techniques']]","Basics of Testing Principles Of Testing SDLC Waterfall Spiral Test Estimation & Test Management TestCase Development Testing Types Testing Techniques KiranSahu ['Basics of Testing', 'Principles Of Testing', 'SDLC', 'Waterfall', 'Spiral', 'Test Estimation & Test Management', 'TestCase Development', 'Testing Types', 'Testing Techniques']"
